Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
BEK010901453,sy_z17m8T6c,BEK010801290,"Ayo Technology (Radio Edit)",none,3297750900804,"Katerine Avgoustakis",Dance & Electronic,"UMG-100&UMG,justente+user-100,100&UMG,justente+user,WMG-100,100,100&UMG,justente+user,WMG,theorchardmusic-100,100,100,100&UMG,justente+user,WMG,theorchardmusic,SonyBMG-100,100,100,100,100&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment-100,100,100,100,100,100&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment,Believe-100,100,100,100,100,100,100","UMG-include&UMG,justente+user-include,include&UMG,justente+user,WMG-include,include,include&UMG,justente+user,WMG,theorchardmusic-include,include,include,include&UMG,justente+user,WMG,theorchardmusic,SonyBMG-include,include,include,include,include&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment-include,include,include,include,include,exclude&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment,Believe-include,include,include,include,include,exclude,include",,"",TRUE
US34H0700064,A407906195896472,US34H0700064,"Bleeding Love",none,none,"Ross Copperman",none,"","",,"",no status
GZCFZ1000058,A950438154981837,GZCFZ1000058,"none",none,none,"none",none,"","",,"",no status
GZCFZ1000063,A401628736454886,GZCFZ1000063,"none",none,none,"none",none,"","",,"",no status
GZCFZ1000059,A818524807374218,GZCFZ1000059,"none",none,none,"none",none,"","",,"",no status
GZCFZ1000060,A333648743970390,GZCFZ1000060,"none",none,none,"none",none,"","",,"",no status
GZCFZ1000064,A472722371259169,GZCFZ1000064,"none",none,none,"none",none,"","",,"",no status
GZCFZ1000061,A908452683744107,GZCFZ1000061,"none",none,none,"none",none,"","",,"",no status
GZCFZ1000062,A323233953689842,GZCFZ1000062,"none",none,none,"none",none,"","",,"",no status
GBCFZ0800052,A946078028943042,GBCFZ0800052,"Wideboys ft. Shaznay Lewis - Daddy O (Radio Edit)",none,none,"none",none,"steveaatw-100","steveaatw-exclude",,"",TRUE
GBCFZ0800052,5_MfF2V2ND0,GBCFZ0800052,"DADDY O",none,none,"none",none,"","",,"",
GBCFZ0800057,GDCp01cunZU,GBCFZ0800057,"DADDY O",none,none,"none",none,"","",,"",no status
GBCFZ0800060,ZRF_Y6YFM0U,GBCFZ0800060,"DADDY O",none,none,"none",none,"","",,"",no status
GBCFZ0800055,m1-2m4A7-Kk,GBCFZ0800055,"DADDY O",none,none,"none",none,"","",,"",no status
GBCFZ0800056,d2GtfPFkwyo,GBCFZ0800056,"DADDY O",none,none,"none",none,"","",,"",no status
GBCFZ0800061,Ej_1tOiq2Z4,GBCFZ0800061,"DADDY O",none,none,"none",none,"","",,"",no status
US34H0700265,A461843053626452,US34H0700265,"none",none,none,"none",none,"","",,"",no status
US34H0700266,A176300286687986,US34H0700266,"none",none,none,"none",none,"","",,"",no status
GBKPS0900003,A377846387817666,GBKPS0900003,"none",none,none,"none",none,"","",,"",no status
GBKPS0900004,A938819394648734,GBKPS0900004,"none",none,none,"none",none,"","",,"",no status
US34H0000014,A856297363954895,US34H0000014,"none",none,none,"none",none,"","",,"",no status
SEYRO0900501,Fvy0d7Ni4CY,SEYRO0900501,"Hate to Love (feat. Evi) [Original Radio Edit]",none,3610150196019,"Alex Sayz",Dance & Electronic,"Believe-100&Believe,WMG-100,100","Believe-include&Believe,WMG-include,include",,"BV&SJ",TRUE
AUCN30903217,A676766275285605,AUCN30903217,"none",none,none,"none",none,"","",,"",no status
