Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
USTCG1067804,A457220574786632,USTCG1067804,"Aromatherapy Music",none,none,"Ahanu Healing Massage Music",none,"","",unknown,"",
USTCG1067809,A328849017412681,USTCG1067809,"Aromatherapy Natural Massage",none,none,"Ahanu Healing Massage Music",none,"","",unknown,"",
USTCE1004568,A327717573346879,USTCE1004568,"Artha: Material Prosperity",none,none,"Meditation Spa",none,"","",unknown,"",
USTCE1004580,A761705686433051,USTCE1004580,"Artistry",none,none,"Meditation Spa",none,"","",unknown,"",
TCAAR1023315,A755483704453920,TCAAR1023315,"As I Live And Breathe",none,none,"Lullabies for Deep Meditation",none,"","",unknown,"",
TCAAR1027203,A523570838816913,TCAAR1027203,"Asia Spa",none,none,"Asian Zen",none,"","",unknown,"",
TCAAR1027194,A804982716514090,TCAAR1027194,"Asia Yoga Dreams",none,none,"Asian Zen",none,"","",unknown,"",
TCAAX1191367,A332720159813085,TCAAX1191367,"Asian Ambience",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAR1026770,A637324592737583,TCAAR1026770,"Asian Chakra Meditation",none,none,"Asian Zen",none,"","",unknown,"",
TCAAU1179877,A739228157675390,TCAAU1179877,"Asian Dance Music",none,none,"Oriental Music",none,"","",unknown,"",
USTCG1074373,A524227780965868,USTCG1074373,"Asian Forest",none,none,"Spa, Relaxation and Dreams",none,"","",unknown,"",
USTCG1089407,A368580616555527,USTCG1089407,"Asian Healing Music",none,none,"Best of Relaxing Meditation and Massage Music",none,"","",unknown,"",
TCAAR1029444,A307544474043928,TCAAR1029444,"Asian Lotus Flower Song",none,none,"Chinese Traditional Erhu Music",none,"","",unknown,"",
TCAAZ1168584,A469869552483565,TCAAZ1168584,"Asian Lullaby",none,none,"Asian Lullabies",none,"","",unknown,"",
TCAAR1026758,A147773460262656,TCAAR1026758,"Asian Massage",none,none,"Asian Zen",none,"","",unknown,"",
TCAAU1179855,A202407869840434,TCAAU1179855,"Asian Meditation",none,none,"Oriental Music",none,"","",unknown,"",
TCAAX1139212,A667551120669700,TCAAX1139212,"Asian Meditation Music",none,none,"Meditation Music",none,"","",unknown,"",
TCAAR1029430,A301331114484918,TCAAR1029430,"Asian Melody",none,none,"Chinese Traditional Erhu Music",none,"","",unknown,"",
USTCG1015542,A841339520915010,USTCG1015542,"Asian Music",none,859704029868,"Asian Traditional Music",World,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAW1184450,A871552971021297,TCAAW1184450,"Asian Music Academy",none,none,"Asian Traditional Music",none,"","",unknown,"",
TCAAX1191386,A926883976775362,TCAAX1191386,"Asian Music No 8",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191389,A471648160141484,TCAAX1191389,"Asian Music No. 10",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191391,A439972033374247,TCAAX1191391,"Asian Music No. 11",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191379,A737386754368132,TCAAX1191379,"Asian Music No. 2",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191380,A464697279850148,TCAAX1191380,"Asian Music No. 3",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191382,A305915881521941,TCAAX1191382,"Asian Music No. 4",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191383,A264519473381261,TCAAX1191383,"Asian Music No. 5",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191384,A432287932534735,TCAAX1191384,"Asian Music No. 6",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191385,A821876142892482,TCAAX1191385,"Asian Music No. 7",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAX1191388,A510646110996636,TCAAX1191388,"Asian Music No. 9",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
TCAAR1026772,A745017827954561,TCAAR1026772,"Asian Relaxation Song",none,none,"Asian Zen",none,"","",unknown,"",
TCAAW1188439,A853438859885399,TCAAW1188439,"Asian Restaurant Music",none,none,"Asian Traditional Music",none,"","",unknown,"",
TCAAZ1168591,A355380053107598,TCAAZ1168591,"Asian Sleep 2",none,none,"Asian Lullabies",none,"","",unknown,"",
TCAAY1165035,A276702084521950,TCAAY1165035,"Asian Sonic Ensemble",none,none,"Asian Zen: Spa Music Meditation",none,"","",unknown,"",
USTCG1073967,A329170369907379,USTCG1073967,"Asian Spa",none,none,"Spa, Relaxation and Dreams",none,"","",unknown,"",
TCAAY1165026,A357060863487248,TCAAY1165026,"Asian Spa Relaxation",none,none,"Asian Zen: Spa Music Meditation",none,"","",unknown,"",
TCAAR1026767,A119261928701807,TCAAR1026767,"Asian Spirits",none,none,"Asian Zen",none,"","",unknown,"",
TCAAY1164871,A268746647617663,TCAAY1164871,"Asian Station",none,none,"Zen Meditation and Yoga Music",none,"","",unknown,"",
TCAAW1152265,A948914108456601,TCAAW1152265,"Asian Taiko Drum",none,none,"Dance Class",none,"","",unknown,"",
TCAAU1178100,A913522181758238,TCAAU1178100,"Asian Taiko Drum Music",none,none,"Traditional Japanese Music",none,"","",unknown,"",
TCAAR1026759,A360242484408236,TCAAR1026759,"Asian Yoga Song",none,none,"Asian Zen",none,"","",unknown,"",
TCAAR1026756,A970358839100298,TCAAR1026756,"Asian Zen",none,none,"Asian Zen",none,"","",unknown,"",
TCAAW1183619,A901913814324791,TCAAW1183619,"Asian Zen Meditation",none,none,"Asian Traditional Music",none,"","",unknown,"",
TCAAW1184434,A639003395660512,TCAAW1184434,"Asian Zen Meditation 2",none,none,"Asian Traditional Music",none,"","",unknown,"",
TCAAW1184444,A867000853325829,TCAAW1184444,"Asian Zen Meditation And Relaxation",none,none,"Asian Traditional Music",none,"","",unknown,"",
