Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,Refrence File
US2S70442010,SjCQqpPonpY,US2S70442010,"Uno Esta",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442011,zbWaypRQhDQ,US2S70442011,"Rugged Tranquility",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442012,QvRKLNtHBq0,US2S70442012,"Daylight",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442013,0VOJtMf06po,US2S70442013,"Hot Water",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442014,JIniwFK1YQU,US2S70442014,"Mestizo Eyes",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442015,VmFwmJo62Ko,US2S70442015,"Sun Goddess",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442016,uqCm_YT2INE,US2S70442016,"Kuhn's Theme",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442017,HD0hdIH8etc,US2S70442017,"Little Girl (Dakota's Song)",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442018,jypmd1g9A6U,US2S70442018,"Broken Dreams",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442019,IfeA4nN9C6I,US2S70442019,"Last Day",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444001,A331761969329486,US2S70444001,"Chops & Thangs",none,659457204426,"Beat Conductor",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444002,A315882707681277,US2S70444002,"Microphone Mathematics Remix",none,659457204426,"Quasimoto",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444003,A805147258864938,US2S70444003,"Flowers",none,659457204426,"Dudley Perkins",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444004,A127191834859022,US2S70444004,"Things Could Be Better",none,659457204426,"Ernie & The Top Notes feat. Raymond Winnfield",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444005,A961331469757732,US2S70444005,"Harlem River Drive Interlude",none,659457204426,"Yesterday's New Quintet",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444006,o1-OYO0Lvbs,US2S70444006,"I Am Singing",none,659457204426,"Yesterday's New Quintet",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444007,A324160124908572,US2S70444007,"My 2600",none,659457204426,"Captain Funkaho",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444008,A705731382605572,US2S70444008,"Breaks Of Meditate",none,659457204426,"Beat Conductor",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444009,A729684437535990,US2S70444009,"The Ox (Fantastic Four)",none,659457204426,"Madlib Invazion feat. Oh No and Medaphor",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444011,A324062679591200,US2S70444011,"Place Your Bet",none,659457204426,"Medaphor",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444010,A713924137101099,US2S70444010,"Rocket Ship",none,659457204426,"The Stark Reality",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444012,A159432801222276,US2S70444012,"Poppin' Popcorn",none,659457204426,"The Highlighters",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444013,A116629572663015,US2S70444013,"Getcho Soul Togtha (Part Two)",none,659457204426,"Breakestra",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444014,A650561607544485,US2S70444014,"Devotion '92",none,659457204426,"Charizma & Peanut Butter Wolf",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444015,A647039710807748,US2S70444015,"Conducted Rhythms",none,659457204426,"Beat Conductor",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444016,A828989618995315,US2S70444016,"Enter Ralph Wiggum",none,659457204426,"A-Trak",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70444017,A963152537842229,US2S70444017,"Take Me",none,881034747136,"Fabulous Souls",Stones Throw : 10 Years,Hip Hop & Rap,"rumblefish_cdbaby-100","rumblefish_cdbaby-exclude",monetize,"",TRUE
US2S70444018,A942351396928981,US2S70444018,"Color",none,659457204426,"L.A. Carnival",Peanut Butter Wolf's Jukebox 45's,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
