Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABO1395999,A340363980999217,TCABT1435104,"Fate of a Fool",none,859711918766,"J-J-X",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1408814,A318369764216387,TCABW1408814,"Fauler Zauber Chi",none,none,"Kairal",none,"","",,"",no status
TCABC1173326,A455600943004371,TCABC1173326,"Few Days",none,none,"Kairal",none,"","",,"",no status
TCABM1386677,A564289678023793,TCABM1386677,"Finale Grande",none,859709772332,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1341673,A537879962403915,TCABO1341673,"Flieg⋮",none,859710174316,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1342298,A558458420532748,TCABM1342298,"Fly with Kairali-Baba (feat. Kairali)",none,859709662251,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1361606,A926414547681760,TCABO1361606,"Forensik Crime 74",none,859710223748,"L.S.D Kairal",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABA1156638,A657613571047003,TCABA1156638,"Free Love",none,none,"Kairal",none,"","",,"",no status
TCABD1228563,A755529122430995,TCABD1228563,"Frere Jacques 77",none,none,"Kairal",none,"","",,"",no status
TCABT1404862,A348698441238822,TCABT1404862,"Fu Energy",none,none,"Kairal & Friends",none,"","",,"",no status
TCABN1360400,A347744914787497,TCABN1360400,"Fu* Energy",none,859709961262,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1374005,A847277845633524,TCABM1374005,"Game {Not} Over",none,859709738321,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABC1195253,A131762651730959,TCABC1195253,"Girl From Santiago",none,none,"Kairal",none,"","",,"",no status
TCABL1373075,A128204546098545,TCABL1373075,"Go",none,none,"Kairal",none,"","",,"",no status
TCABU1488607,A472962040761944,TCABU1488607,"G'o",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAU1000458,A658464485109180,TCAAU1000458,"Go New, Year (feat. J.J. Moody, Shakir Armstrong, Rick Offerus, Alexander Dennerlein & Chick Runkle)",none,859705151223,"Kairal",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1373041,A352697503294541,TCABL1373041,"Go To Donald",none,none,"Kairal",none,"","",,"",no status
TCABU1420435,Item not in CMS
TCABT1407821,A449291480849999,TCABT1407821,"Go To Strangers",none,none,"J-J-X",none,"","",,"",no status
TCABI1292865,A505254388139566,TCABI1292865,"Go Work 4",none,none,"Kairal",none,"","",,"",no status
TCABL1373030,A359630559711447,TCABL1373030,"Go Work 5",none,none,"Kairal",none,"","",,"",no status
TCABK1254471,A415503016093294,TCABK1254471,"Gold",none,none,"Kairal & Friends",none,"","",,"",no status
TCABL1373027,A474661969016150,TCABL1373027,"Gold (Unzensiert)",none,none,"Kairal",none,"","",,"",no status
TCABT1404122,A651484573532865,TCABT1404122,"Gold Tyme",none,none,"Kairal & Friends",none,"","",,"",no status
TCABU1422120,Item not in CMS
TCABU1483403,A926817675854308,TCABU1483403,"Gravitation",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1379364,A917854204814882,TCABM1379364,"Happy Day",none,859709752983,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABR1384300,A156615052922355,TCABR1384300,"Hard Coma",none,859711575709,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABD1237886,A342140501857359,TCABD1237886,"Hard Head",none,none,"Isat Sang",none,"","",,"",no status
TCABL1373079,A705280824716483,TCABL1373079,"Hard Head Latein",none,none,"Kairal",none,"","",,"",no status
TCABI1245819,A858154146423588,TCABI1245819,"Hardy",none,none,"Kairal",none,"","",,"",no status
TCABM1369846,A561931737726462,TCABM1369846,"Healing Weltschmerz (feat. Faisel)",none,859709727530,"24 Kairal",Pop,"","",monetize,"",
TCABM1380393,A318832153914288,TCABM1380393,"Heavy Load",none,859709756226,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABI1250817,A604919085161679,TCABI1250817,"Hermano - Brueder",none,none,"Kairal feat. Offerus + Tamo",none,"","",,"",no status
